query_id,pmid,rank,score,model_name
Q12,41444686,5,0.11752962809511845,tfidf
Q12,41721140,6,0.10804666590259965,tfidf
Q12,39852777,7,0.1075368262684494,tfidf
Q12,37415074,8,0.10667128727959954,tfidf
Q12,37855949,9,0.10138646975224114,tfidf
Q12,41938696,10,0.10112950014570449,tfidf
Q13,41877517,1,0.23455964002707136,tfidf
Q13,39152330,2,0.1575462232162182,tfidf
Q13,41775373,3,0.1344469238235737,tfidf
Q13,41925207,4,0.11178295975597885,tfidf
Q13,39087931,5,0.10268593013896127,tfidf
Q13,41959564,6,0.08601565340450851,tfidf
Q13,33590339,7,0.0855004875786394,tfidf
Q13,41876945,8,0.08077681205043005,tfidf
Q13,41929955,9,0.07941174798474798,tfidf
Q13,41941099,10,0.07839134906943533,tfidf
Q14,39662309,1,0.2771883479926207,tfidf
Q14,37772490,2,0.2609059483335814,tfidf
Q14,41390351,3,0.24021040972936913,tfidf
Q14,33290417,4,0.23349705743293345,tfidf
Q14,39076978,5,0.20143461819205358,tfidf
Q14,33091751,6,0.19835148054038715,tfidf
Q14,39812862,7,0.1932752321309798,tfidf
Q14,34175775,8,0.19071411460234045,tfidf
Q14,36625888,9,0.18875937277051075,tfidf
Q14,40495080,10,0.18800404757381547,tfidf
Q15,39852777,1,0.2180543132268531,tfidf
Q15,36161838,2,0.13196316768390404,tfidf
Q15,40010822,3,0.12184565003532805,tfidf
Q15,40480806,4,0.10337343002532598,tfidf
Q15,39085998,5,0.09760276781965473,tfidf
Q15,41892906,6,0.09673568378815209,tfidf
Q15,39803405,7,0.09289352507965336,tfidf
Q15,39121128,8,0.08320728732742222,tfidf
Q15,41871655,9,0.08316440881569137,tfidf
Q15,40702219,10,0.08241082760109505,tfidf
Q16,37958816,1,0.13750602326832997,tfidf
Q16,41892906,2,0.1322954475692317,tfidf
Q16,38627230,3,0.12710637710194025,tfidf
Q16,40321052,4,0.11654412018591054,tfidf
Q16,40093920,5,0.11343968984153283,tfidf
Q16,40543174,6,0.11276925500137963,tfidf
Q16,40081818,7,0.09852964338144456,tfidf
Q16,41371383,8,0.09589250686266315,tfidf
Q16,41755682,9,0.09579565059199459,tfidf
Q16,41495563,10,0.09192192923961516,tfidf
Q17,40358052,1,0.1941886743388328,tfidf
Q17,41904574,2,0.16205154684206327,tfidf
Q17,41780490,3,0.15223514026549342,tfidf
Q17,41593765,4,0.13866861707410924,tfidf
Q17,41061181,5,0.12378748751711988,tfidf
Q17,41860363,6,0.11347382017709257,tfidf
Q17,40093920,7,0.11243423374250283,tfidf
Q17,41856052,8,0.1094851916250791,tfidf
Q17,41144329,9,0.10690311788030371,tfidf
Q17,41849958,10,0.1043606361477516,tfidf
Q18,40693834,1,0.19173315646143563,tfidf
Q18,39847856,2,0.16157869631339208,tfidf
Q18,39662309,3,0.14803579902452604,tfidf
Q18,41972297,4,0.14385895636292642,tfidf
Q18,40241602,5,0.13519525227849077,tfidf
Q18,40321052,6,0.13418048764584287,tfidf
Q18,38231496,7,0.1283939648201883,tfidf
Q18,37629053,8,0.1266009573576609,tfidf
Q18,35859467,9,0.12206291333844363,tfidf
Q18,35709711,10,0.11876077860590417,tfidf
Q19,39813057,1,0.1944113759528926,tfidf
Q19,39644737,2,0.16635915335595314,tfidf
Q19,34111252,3,0.15505358773008696,tfidf
Q19,40358052,4,0.12456069490550215,tfidf
Q19,37459384,5,0.09128767367051027,tfidf
Q19,41920501,6,0.08746322922543186,tfidf
Q19,41877664,7,0.08656498712578484,tfidf
Q19,41144329,8,0.08605061253206206,tfidf
Q19,39120694,9,0.08582553524974304,tfidf
Q19,41925207,10,0.08151778706581062,tfidf
Q20,41770546,1,0.24826925523797408,tfidf
Q20,40330593,2,0.2369160989817616,tfidf
Q20,39735398,3,0.21527704142781187,tfidf
Q20,41961641,4,0.15860562063118816,tfidf
Q20,41611978,5,0.15708121342295417,tfidf
Q20,41858217,6,0.15510805501075858,tfidf
Q20,41780490,7,0.15054628240941847,tfidf
Q20,41593765,8,0.1491571370478619,tfidf
Q20,41890204,9,0.14914204646639959,tfidf
Q20,41874134,10,0.13785788682926609,tfidf
